,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,3,641205053,False,0.162874937057495,9330,3490,1270,0.000175531249638704,2.02857241250194e-05,0.0116231184633581,572.970350564058,1.76637068463325e-05,570460301,922,194143493504.0,710812808.0,8261861.47265625,14419.3525276184,0.8707456898
1,1,641200190,True,1.0,8260,1020,4380,0.210641332804635,0.887658984715361,6465.89109777804,7284.20622008508,0.0211968339542969,570460301,894,129314785280.0,19493452.125,126042538560.0,17303537.921875,0.023879478853125
2,1,641201088,False,0.0410754382610321,7180,4970,760,2.830183146313e-05,2.3349559342023e-05,0.00931338965892792,398.867919921875,2.84801284790039e-06,570460301,540,22279579648.0,99569696.0,927331.375,2324.90844726562,0.1219728776
3,3,641203603,False,0.270080417394638,6850,1970,3440,0.00312758927327273,2.80099989726078e-05,0.0151684320075503,541.536328594092,0.00031472925859375,570460301,382,3395304816640.0,9172504576.0,139132512.0,256921.84375,11.2363181056
4,2,641198405,False,0.000205898933927529,9260,2160,8810,2.81648109654701e-09,2.48328868579506e-09,1.18114235192479e-06,475.636352539062,2.83422447741032e-10,570460301,74,27732946944.0,93168896.0,110.04573059082,0.231365263462067,0.1141318976
5,2,641198525,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,570460301,173,20863760384.0,67648496.0,0.0,0.0,0.0828694076
6,2,641199757,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,570460301,607344858,6430853632.0,17064000.0,0.0,0.0,0.0209034
7,3,641205363,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,570460301,1004,46101211136.0,175519808.0,0.0,0.0,0.2150117648
8,1,641200702,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,570460301,667,25754093568.0,104673600.0,0.0,0.0,0.12822516
9,2,641198592,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,570460301,225,74986930176.0,337079712.0,0.0,0.0,0.4129226472
10,2,641199768,False,0.10784725099802,7180,900,7110,0.000235522332389232,0.000121029566798825,0.0950545147061348,785.382568359375,2.37006085449219e-05,570460301,312782562,61337411584.0,159857104.0,15195139.0,19347.435546875,0.1958249524
11,2,641201974,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,570460301,312782608,45398593536.0,124375504.0,0.0,0.0,0.1523599924
12,3,641203485,False,0.906493544578552,5850,3820,4850,0.0348042711156788,2.64967212732132e-05,0.0278150661464592,1049.75501910792,0.00350235324623402,570460301,343,25866584813536.0,107902553112.0,3001316652.18211,2859063.87447675,132.1806275622
13,2,641199065,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,570460301,783,118302982144.0,351775808.0,0.0,0.0,0.4309253648
14,1,641198632,False,0.241381898522377,9300,2520,2220,0.000664083214867866,0.00751286232843995,5.42501974105835,722.097595214844,6.68266833007812e-05,570460301,312782598,2165599488.0,7261200.0,39392152.0,54552.39453125,0.00889497
15,2,641198654,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,570460301,269,24298741760.0,92317504.0,0.0,0.0,0.1130889424
16,2,641199505,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,570460301,1031,33448257536.0,190610096.0,0.0,0.0,0.2334973676
