,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,3,635944276,False,0.00428616954013705,7780,5020,1920,6.31045737945832e-07,1.75257153864966e-08,1.48267549975549e-06,84.5999987480041,1.6236129784584e-08,301618122,131,127331598336.0,756259200.0,1121.28698730469,13.2539834976196,0.92641752
1,1,635943577,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,427,23253975040.0,214267504.0,0.0,0.0,0.2624776924
2,2,635942282,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,242,177122375680.0,1373738400.0,0.0,0.0,1.68282954
3,3,635944497,False,0.679069936275482,9800,2190,2320,0.0486946180426148,0.00143037106514593,0.667084074302213,466.371342763533,0.00125286027748833,301618122,425,116187194112.0,715019416.0,476978065.230469,1022743.08366394,0.8758987846
4,3,635944833,False,0.105769112706184,8750,2600,9580,0.000242354813736156,1.08044153637078e-05,0.00490924220079266,454.373701448289,6.23552933349609e-06,301618122,729,73400279040.0,471124800.0,2312865.75,5090.22802734375,0.57712788
5,3,635944281,False,0.536310791969299,7520,2840,7110,0.00773335509612777,5.86826502318531e-05,0.0159631424311375,272.024906306509,0.000198970929460239,301618122,138,301356275712.0,2767858096.0,44183713.015625,162425.248538971,3.3906261676
6,3,635945094,False,0.741483628749847,5930,4430,6330,0.021038439628169,3.87377576202367e-05,0.0128393407275972,331.442538658715,0.000541296479364558,301618122,856,1453561401280.0,11406821256.0,146456064.724583,441874.677032292,13.9733560386
7,3,635945128,False,0.0403541065752506,9400,3520,10160,1.53970577853653e-05,1.07868126515678e-06,0.000419312308273215,388.726792443429,3.9614977722168e-07,301618122,888,37766817792.0,299799008.0,125709.4140625,323.387573242188,0.3672537848
8,3,635945229,False,0.0727239325642586,8840,5970,4500,0.000511136301328012,2.05846765922935e-06,0.000162807482481157,79.0915911412033,1.31509886319622e-05,301618122,987,377721918208.0,5215287632.0,849087.849781036,10735.5009240508,6.3887273492
9,2,635942835,False,0.0666292458772659,12740,2650,8480,0.000208122223350713,8.98962048827613e-07,0.000112917028926315,125.608226813997,5.35476151123047e-06,301618122,1017,1076976975872.0,4862534400.0,549062.9375,4371.23388671875,5.95660464
10,1,635942288,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,312782598,1262234624.0,7261200.0,0.0,0.0,0.00889497
11,1,635943453,False,0.00181950174737722,3940,4300,5690,6.79566502646241e-07,4.3847467878777e-08,1.00258803286124e-05,228.653564453125,1.74845170021057e-08,301618122,597,42588594176.0,325516512.0,3263.58959960938,14.2730751037598,0.3987577272
12,3,635945078,False,0.0764496922492981,6210,1560,6620,5.08030065311742e-05,4.12172481811485e-07,0.000124356592416055,301.710079890613,1.30710685119629e-06,301618122,844,418113060864.0,2588785152.0,321932.5,1067.02600097656,3.1712618112
13,3,635945153,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,907,28946453504.0,214300800.0,0.0,0.0,0.26251848
14,1,635943150,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,980,6489901056.0,59494500.0,0.0,0.0,0.0728807625
15,2,635942451,False,0.570837497711182,8120,690,7300,0.0762169602073204,0.0404146797955036,29.047306060791,718.731628417969,0.0019609806125,301618122,501,11032932352.0,39609384.0,1150545920.0,1600800.5,0.0485214954
16,1,635943036,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,1139,4394791936.0,26278200.0,0.0,0.0,0.032190795
17,3,635944245,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,84,62817751040.0,418622400.0,0.0,0.0,0.51281244
18,3,635944388,False,0.00146530044730753,7310,1120,7110,2.06784107208903e-07,2.16036730883363e-08,5.84379341622198e-06,270.499992863575,5.32033321857452e-09,301618122,312782566,43310090240.0,201036608.0,1174.81640625,4.34312915802002,0.2462698448
19,3,635945247,True,0.336598336696625,8290,1150,7150,0.000568449308705396,0.222823523871158,351.195921471813,1576.11689901683,1.46255908203125e-05,301618122,1009,27782372.0,53581.67578125,18817666.0,11939.2578125,6.56375528320312e-05
20,2,635942660,False,0.975392580032349,8190,290,7190,0.10304650735393,0.0252272300422192,22.3198413848877,884.751953125,0.002651276075,301618122,805,16899741696.0,85792496.0,1914874880.0,2164307.0,0.1050958076
21,3,635944610,False,0.20998352766037,9180,970,6350,0.00773530083221257,0.000190537102013603,0.0525902259023055,276.01042183664,0.000199020991162109,301618122,542,139814522880.0,852674432.0,44842341.0,162466.115234375,1.0445261792
22,2,635942729,False,0.0326013006269932,12980,4920,6830,5.30410391364209e-05,1.2092506949557e-05,0.000808981887530535,66.8994369506836,1.36468902893066e-06,301618122,903,7768711680.0,92125800.0,74528.1015625,1114.03186035156,0.112854105
23,3,635944942,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,832,3955421408.0,188443792.0,0.0,0.0,0.2308436452
24,3,635944468,False,0.717285335063934,8020,610,7180,0.410173939110973,0.012096410629562,6.76558472520873,559.305146989188,0.0105533353752426,301618122,394,153669556960.0,712192064.0,4818395749.61328,8614967.65325928,0.8724352784
25,3,635945228,False,0.323812365531921,7590,1580,8160,0.092039547759272,0.00288327297114411,0.486311723628127,168.666556547074,0.0023680788140625,301618122,986,27086867456.0,670462208.0,326053632.0,1933125.5625,0.8213162048
26,1,635943258,False,0.262190967798233,4590,6900,5350,0.00659263644691948,0.000235365965636447,0.0328422822058201,139.537094116211,0.0001696214625,301618122,848,5201500672.0,588302976.0,19321212.0,138466.5,0.7206711456
27,3,635944406,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,311,97944248320.0,640112384.0,0.0,0.0,0.7841376704
28,1,635943979,False,0.196488216519356,4430,5320,1880,0.00268050970100396,7.2116316441464e-05,0.0154913047028818,214.809982917748,6.8966638671875e-05,301618122,119,146409545664.0,780673496.0,12093651.0,56299.296875,0.9563250326
29,1,635943496,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,530,260486432.0,16888500.0,0.0,0.0,0.0206884125
30,1,635943817,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,233,22191845376.0,91323904.0,0.0,0.0,0.1118717824
31,2,635942904,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,1107,22673985536.0,419008512.0,0.0,0.0,0.5132854272
32,1,635943349,False,0.0612197369337082,2640,4180,5190,0.00021561821910359,5.6640022603373e-06,0.0009179042127248,162.059294918102,5.54762543945312e-06,301618122,746,133190199360.0,799553676.0,733913.6875,4528.673828125,0.9794532531
33,1,635943638,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,366,18846625792.0,137851200.0,0.0,0.0,0.16886772
34,3,635944661,False,0.274017989635468,8550,890,6480,0.00505076300728948,0.000178662678963029,0.070955334114196,397.146928088315,0.000129950713183594,301618122,590,108341452800.0,593756992.0,42130225.75,106082.21484375,0.7273523152
35,1,635943368,False,0.00988656375557184,13040,5040,4940,2.84468830363491e-06,3.98567493675728e-07,4.49995932285674e-05,112.903327941895,7.31907779693603e-08,301618122,711,10080066560.0,149905792.0,6745.69970703125,59.7475738525391,0.1836345952
36,3,635945379,False,0.0253742933273315,7650,6250,4400,4.84692810494336e-05,1.9894557060046e-07,2.45990649232515e-05,123.647210887914,1.24706259841919e-06,301618122,290,417923401856.0,5117029152.0,125874.132324219,1018.01028442383,6.2683607112
37,3,635944811,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,706,6171010560.0,52313400.0,0.0,0.0,0.064083915
38,2,635942139,False,0.182273000478745,5110,1560,6000,0.00478611799249593,7.13390083002312e-05,0.0297972631465059,417.685413022616,0.000123141680892181,301618122,39,267026819456.0,1409100344.0,41987333.75,100523.821136475,1.7261479214
39,3,635944698,False,0.0981280282139778,8780,1760,8090,0.000609464822430407,1.39646979065777e-05,0.00165559505608423,118.555737271224,1.5680875982666e-05,301618122,618,22942676672.0,916648192.0,1517598.21484375,12800.7150878906,1.1228940352
40,2,635942503,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,583,39591374848.0,247832096.0,0.0,0.0,0.3035943176
41,2,635942844,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,614454277,3103659008.0,18950400.0,0.0,0.0,0.02321424
42,2,635942770,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,946,46391439360.0,318201312.0,0.0,0.0,0.3897966072
43,3,635944649,False,0.000313765835016966,8990,3140,3580,1.43962167850607e-08,3.82097450316431e-09,2.41813118508465e-07,63.2857189463601,3.70399212092161e-10,301618122,580,4010443520.0,79133400.0,19.1354942321777,0.302366703748703,0.096938415
44,1,635942953,False,0.0287909302860498,7550,7170,5690,0.000189634137013086,0.000108533953607548,0.00907941069453955,83.655029296875,4.87908288574219e-06,301618122,10671,1033766784.0,36697500.0,333191.6875,3982.9248046875,0.0449544375
45,3,635944485,False,0.12645098567009,10510,6520,8240,0.000452091984239238,4.21753758163586e-05,0.00286425548235679,67.9129806650311,1.16318417022705e-05,301618122,413,424054864.0,225140400.0,644859.625,9495.38098144531,0.27579699
46,2,635942804,False,0.195171967148781,6110,1920,9840,0.00242637903891079,0.00013489970297087,0.0284948386251926,211.229797363281,6.24281293945312e-05,301618122,981,61185916928.0,377775008.0,10764638.0,50961.73828125,0.4627743848
47,3,635944430,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,338,1125315520.0,18644400.0,0.0,0.0,0.02283939
48,1,635943685,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,333,2288452864.0,16648200.0,0.0,0.0,0.020394045
49,1,635943049,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,1113,6004313088.0,50201100.0,0.0,0.0,0.0614963475
50,3,635945170,False,0.0153583185747266,5900,1780,6510,7.12084811794354e-06,6.72351865762773e-06,0.00164203968189747,244.223265452621,1.83211782073975e-07,301618122,927,1592941568.0,22244400.0,36526.1875,149.560638427734,0.02724939
51,1,635943805,False,0.0372576527297497,6080,3360,4440,0.000103580585491285,2.23948566715297e-06,0.000215090584456306,96.0446354317362,2.6650173324585e-06,301618122,239,184592882944.0,971439284.0,208947.443359375,2175.52435302734,1.1900131229
52,3,635945150,False,0.0365512371063232,8110,1680,9590,8.16295529770069e-05,9.55768494974522e-06,0.00450662319563316,471.518282861301,2.10024081726074e-06,301618122,905,36820922368.0,179382592.0,808409.75,1714.48229980469,0.2197436752
53,1,635943581,False,0.00864693615585566,7790,3900,1800,1.4913389497019e-06,1.46253526622786e-07,2.60087545029819e-05,177.833343505859,3.8370551109314e-08,301618122,423,51225296896.0,214168496.0,5570.255859375,31.3228988647461,0.2623564076
54,1,635943634,False,0.0816914737224579,4320,1830,2740,0.00054346446953506,6.72922195695111e-06,0.00131355657251201,195.201849621729,1.39827577148437e-05,301618122,369,341689325824.0,1696257928.0,2228130.75,11414.49609375,2.0779159618
55,2,635942867,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,1060,53175972.0,3118500.0,0.0,0.0,0.0038201625
56,1,635943524,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,478,46607695872.0,237633296.0,0.0,0.0,0.2911007876
57,3,635944548,False,0.0705006718635559,8980,3430,3340,7.23066266219916e-05,2.41112616049008e-06,0.000352056165270481,146.013166394795,1.86037192476988e-06,301618122,475,54024660992.0,629859600.0,221745.955434799,1518.67095899582,0.77157801
58,2,635942146,False,0.0183822605758905,7660,3210,5790,1.30151364197926e-05,3.5585496789281e-06,0.00013705063611269,38.5130577087402,3.34865496063232e-07,301618122,50,7754886144.0,76817696.0,10527.9140625,273.359588623047,0.0941016776
59,1,635943397,False,0.0683655440807343,7590,350,4470,0.000197456743062958,1.81670166057302e-05,0.00303988670930266,167.329986572266,5.08035014648437e-06,301618122,671,34879889408.0,228283200.0,693955.0625,4147.224609375,0.27964692
60,2,635942144,False,1.75270815816475e-05,6460,5040,6190,7.51045965175712e-10,1.34617632027362e-10,4.69352816386962e-08,348.656271335662,1.93236068822443e-11,301618122,46,4090861184.0,117179100.0,5.49983406066895,0.0157743729650974,0.1435443975
61,1,635943927,False,0.0372576527297497,6080,3360,4440,3.69847482588053e-05,1.69822487805504e-06,0.000116637551400345,68.6820373535156,9.51577891540527e-07,301618122,155,82320195584.0,457417792.0,53352.08984375,776.798278808594,0.5603367952
62,1,635944020,False,0.239112928509712,9740,4830,3370,0.00478466579399452,0.000204114941880107,0.0248170513659716,121.583702087402,0.000123104317382812,301618122,78,4469455872.0,492336896.0,12218350.0,100493.3203125,0.6031126976
63,1,635943885,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,189,5370576384.0,40812300.0,0.0,0.0,0.0499950675
64,1,635943911,False,0.105449676513672,8580,5850,5520,0.000217573131040994,1.38445300184795e-05,0.00192465473045899,139.019145315152,5.59792322616577e-06,301618122,165,40748455392.0,330075000.0,635280.41015625,4569.73324584961,0.404341875
65,3,635944784,False,0.997935235500336,8210,430,7130,2.10095361053788,0.000226902383760464,0.129142334786859,569.153715560749,0.0540552822733929,301618122,688,35224713018926.8,194474647239.0,25114910001.2953,44126761.0395044,238.231442867775
66,2,635942276,False,0.0211759470403194,12200,6850,7440,4.83329522283171e-05,3.95953572866876e-06,0.000135232023337219,34.1535050076907,1.24355500411987e-06,301618122,235,6689838464.0,256380296.0,34670.826171875,1015.14694213867,0.3140658626
67,2,635943019,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,526322264,7524294.0,423900.0,0.0,0.0,0.0005192775
68,2,635942373,False,0.509517669677734,6410,4800,5940,0.00135551200800158,0.000206527751288377,0.0824581161141396,399.259246826172,3.48758696289062e-05,301618122,366,20740962304.0,137851200.0,11366950.0,28470.09765625,0.16886772
69,1,635944097,False,0.177592039108276,9120,2610,3680,0.00113311134214117,2.59565640590154e-05,0.0047939931973815,184.692901611328,2.91537391113281e-05,301618122,10,153221922816.0,916876800.0,4395501.0,23798.970703125,1.12317408
70,3,635944477,False,0.269367903470993,8540,1960,9560,0.00184327866391516,5.67331042430124e-05,0.0265678107015722,468.294676557285,4.74255823577881e-05,301618122,402,143831633920.0,682401600.0,18129916.53125,38714.7611083984,0.83594196
71,2,635942391,False,0.717285335063934,8020,610,7180,0.391342915498094,0.0231181681474613,13.0119106612987,562.843499463322,0.0100688333416016,301618122,394,77444173792.0,355540964.0,4626267260.0,8219455.7890625,0.4355376809
72,2,635942756,False,0.0436728000640869,8920,5890,6030,2.38051297635961e-05,1.61496832760815e-06,5.96585970508079e-05,36.9410322363196,6.12480448150635e-07,301618122,932,4366940800.0,309593712.0,18469.9265136719,499.984039306641,0.3792522972
73,2,635942117,False,0.997935235500336,8210,430,7130,2.12361643812345,0.000223296142916824,0.124777878507416,558.799972437923,0.0546383725120857,301618122,8,32473063646848.4,199747082455.0,24924017186.7808,44602753.0710904,244.690176007375
74,2,635942408,False,0.613510727882385,9650,2160,9310,0.047429396901549,0.00278641212077797,1.2086917593228,433.780685315613,0.00122030749499207,301618122,425,60912957312.0,357509708.0,432119037.9375,996169.383666992,0.4379493923
75,2,635942940,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,929,1279077504.0,24082200.0,0.0,0.0,0.029500695
76,1,635943305,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,795,309731449984.0,2112206336.0,0.0,0.0,2.5874527616
77,3,635944401,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,303,138893893632.0,692649024.0,0.0,0.0,0.8484950544
78,2,635942840,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,1023,57993998336.0,272100608.0,0.0,0.0,0.3333232448
79,2,635942806,False,0.731723845005035,8130,1330,7110,0.216692044221619,0.000729476336428739,0.159105786392612,218.109592384502,0.00557525380762658,301618122,983,199459841632.0,6239033908.0,992666396.262512,4551227.59806252,7.6428165373
80,3,635944911,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,806,397312245760.0,1931610624.0,0.0,0.0,2.3662230144
81,2,635942397,False,0.269367903470993,8540,1960,9560,0.00184327866391516,0.000113466208486025,0.0531356214031444,468.294676557285,4.74255823577881e-05,301618122,402,71382275072.0,341200800.0,18129916.53125,38714.7611083984,0.41797098
82,3,635945320,False,0.384134352207184,6020,4660,6450,0.000839011614183583,0.000117701778249001,0.0365124788934842,310.211786403441,2.15868686523437e-05,301618122,1104,25664164864.0,149716800.0,5466531.5,17621.93359375,0.18340308
83,2,635942340,False,0.191212683916092,7980,3400,7530,0.000125688750826218,3.24302382068709e-05,0.00620384654030204,191.298217773438,3.23383670654297e-06,301618122,325,6613238784.0,81401400.0,505001.78125,2639.86669921875,0.099716715
84,2,635942345,False,0.129221856594086,7450,1050,6520,0.000361215249621634,0.000543672533240169,0.133021399378777,244.671920776367,9.2936808227539e-06,301618122,330,1316148992.0,13954500.0,1856247.125,7586.67822265625,0.0170942625
85,1,635943270,False,0.148253455758095,9990,1400,4640,0.00363231641024696,0.000469308608444408,0.0818595141172409,174.425765991211,9.34556041015625e-05,301618122,834,20035508224.0,162558896.0,13306992.0,76290.2890625,0.1991346476
86,2,635942882,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,1081,484621312.0,4872600.0,0.0,0.0,0.005968935
87,1,635943037,False,0.177012458443642,9020,5600,4020,0.00189612154343033,2.2985808647517e-05,0.00283155556888411,123.187120031559,4.87851729522705e-05,301618122,1132,160392659712.0,1732574720.0,4905881.59692383,39824.6309814453,2.122404032
88,2,635942221,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,159,336193650688.0,2191807744.0,0.0,0.0,2.6849644864
89,1,635943636,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,368,770559360.0,5916600.0,0.0,0.0,0.007247835
90,3,635945299,False,0.0117569835856557,8530,3970,3120,1.33494344969593e-05,1.12693476972358e-06,7.79529330424936e-05,69.1725334391929,3.43466626918316e-07,301618122,1079,25094812672.0,248799600.0,19394.6585597992,280.380919933319,0.30477951
91,2,635942465,False,0.274380266666412,10720,4220,9310,0.0120222862771437,1.09528354062395e-05,0.00173826940275952,158.704968922411,0.000309320527127757,301618122,528,5150768210944.0,23053989528.0,40074044.6080608,252506.552757353,28.2411371718
92,2,635942823,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,1004,11980193792.0,87759904.0,0.0,0.0,0.1075058824
93,1,635943187,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,182305709,25366636544.0,132363904.0,0.0,0.0,0.1621457824
94,3,635944618,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,551,44494485504.0,233706592.0,0.0,0.0,0.2862905752
95,1,635943950,False,0.624087810516357,7380,5150,1440,0.00131446786443952,4.2939751438098e-05,0.0243556220084429,567.204528808594,3.38198478515625e-05,301618122,139,98228961280.0,642948288.0,15659405.0,27608.0390625,0.7876116528
96,2,635942168,False,0.00921614933758974,10990,3960,7500,5.74413022618502e-06,3.1179024517769e-07,1.89387628779514e-05,60.7419967651367,1.47790307807922e-07,301618122,91,40890474496.0,386943296.0,7328.22705078125,120.645149230957,0.4740055376
97,2,635942562,False,0.112120248377323,9510,4760,8040,0.000252506770296221,1.41121454362292e-05,0.00109416199848056,77.5333557128906,6.49672828369141e-06,301618122,658,8896973824.0,375807616.0,411194.40625,5303.45166015625,0.4603643296
98,2,635942598,False,0.0230977181345224,8030,5520,9320,2.30065354471676e-05,1.2054489673119e-07,1.01972282209317e-05,84.5927734375,5.91933473205566e-07,301618122,703,618914375680.0,4008556032.0,40876.16015625,483.210998535156,4.9104811392
99,2,635942189,False,0.0282959695905447,9510,2390,8950,1.98071395325912e-05,2.41755824390566e-05,0.00815898180007935,337.488555908203,5.09616448974609e-07,301618122,121,2304731136.0,17208000.0,140399.765625,416.013427734375,0.0210798
100,3,635944558,False,0.177823320031166,6900,3070,8580,0.00450779880434482,4.0431591062554e-06,0.00147387097585637,364.534498178927,0.000115980826791382,301618122,485,3868267511808.0,23416893440.0,34513479.5859375,94678.2259521484,28.685694464
101,2,635942170,False,0.213569417595863,4470,4830,9720,0.00100900123986924,5.96570559944046e-06,0.00115067655275341,192.881886907281,2.59605193383453e-05,301618122,95,662336823280.0,3552347720.0,4087603.22863102,21192.2606843635,4.351625957
102,1,635943364,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,301618122,721,125407584256.0,460638016.0,0.0,0.0,0.5642815696
103,1,635943511,False,0.128376379609108,8090,610,4210,0.000736237729274506,0.000347740337019786,0.155884265899658,448.277770996094,1.89426068603516e-05,301618122,501,10428268544.0,44468100.0,6931877.0,15463.3525390625,0.0544734225
104,2,635942612,False,0.12301654368639,10330,4030,7580,0.000479950495354836,3.23698691317986e-06,0.000188382953638211,58.1970062255859,1.23486113037109e-05,301618122,728,136246583296.0,3114161152.0,586654.875,10080.4990234375,3.8148474112
105,3,635944910,False,0.975392580032349,8190,290,7190,0.103077474416732,0.0126174054173268,11.1603739576605,884.522101694108,0.00265207282430115,301618122,805,32728713216.0,171584992.0,1914952676.24219,2164957.40759277,0.2101916152
106,3,635945390,False,0.105449676513672,8580,5850,5520,6.95640323922965e-05,2.37097786214284e-05,0.0032161897622438,135.648240905003,1.78980791778564e-06,301618122,607344838,12806627328.0,61623000.0,198191.26171875,1461.06768798828,0.075488175
